Account,total_pnl,trade_count,avg_pnl,avg_size,win_rate,Segment_Perf
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,3818,419.1277684596647,16159.57673389209,0.3596123624934521,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,3853,9.786185608097586,1759.7434388787956,0.44303140410070074,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,31763.088431,1146,27.71648205148342,10908.183944153578,0.43019197207678883,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.481685,13266,9.974029977762703,509.01650233680084,0.43811246796321424,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.984054,3234,52.142233782931356,3142.909573283859,0.5197897340754484,Consistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.567439,617,-44.90205419611021,1894.0418962722854,0.29497568881685576,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,3589,4.0281190682641395,4790.5754862078575,0.32766787405962666,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,332,161.13327482831323,3445.471265060241,0.4759036144578313,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,383,520.9023308929503,5189.367127937337,0.2349869451697128,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,1051,396.329088811608,2580.497012369172,0.5699333967649858,Consistent Winner
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,8340,12.226096299040767,520.7206258992805,0.35335731414868105,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995032,4134,163.13594461344945,8954.378674407353,0.48863086598935657,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,7479,40.28451551397246,17091.235308196283,0.3584703837411419,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,6000,67.2502747015,27373.685203333334,0.40016666666666667,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.614902,822,132.01777968613138,779.8789416058394,0.49148418491484186,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,425815.195065,1134,375.49840834656084,9561.075255731923,0.4532627865961199,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.014159,1358,289.89912677393227,2179.4932474226803,0.28276877761413843,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,8948,40.408652514528384,2755.616032632991,0.8093428699150648,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,9.511868112612612,3643.361287001287,0.4510939510939511,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3071,63.92178210582872,2250.1390687072617,0.28622598502116575,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,1856,34.763948078663795,6292.94504849138,0.33135775862068967,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.578772,11216,6.875051602353779,812.6480536733238,0.31624465049928674,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.778134,2804,38.943572800998574,3302.609835948645,0.30920114122681885,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.522896,13485,6.636672072376714,1307.2303841305154,0.3508342602892102,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,417,174.6918088057554,2066.6892086330936,0.5731414868105515,Consistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,372,79.7775932016129,3233.528870967742,0.41397849462365593,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,534,40.746875941947565,8330.193370786517,0.32209737827715357,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.426049,14410,141.6323682199167,3879.316512144344,0.34073560027758504,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,4.648305254443986,22504.555828854896,0.4386109962794543,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,44.36796662019821,3210.7751864086836,0.46753185464841907,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.657216,2478,136.04263810169493,7524.482457627119,0.3486682808716707,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.978768,36534,22.20350847889637,1862.8043345924345,0.4347457163190453,Inconsistent
